Organización Política,Estado Org. Política,Tipo partido,Alcance,Fecha de inscripción,Fecha de cancelación
PARTIDO POLITICO ADP,INSCRITO,PARTIDO POLÍTICO,NACIONAL,17/06/2025,
MOVIMIENTO REGIONAL YAKU APURIMAC,INSCRITO,MOVIMIENTO REGIONAL,APURÍMAC,31/10/2024,
PARTIDO MORADO,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,01/03/2019
KAYPI PROGRESO,CANCELADO,MOVIMIENTO REGIONAL,APURÍMAC,,01/04/2011
ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,INSCRITO,MOVIMIENTO REGIONAL,ANCASH,,02/02/2021
REFORMA Y HONRADEZ POR MAS OBRAS,INSCRITO,ALIANZA ELECTORAL,REGIONAL,,02/03/2022
DESPERTAR NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
NUEVA MAYORIA,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
CAMBIO RADICAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
PARTIDO DESCENTRALISTA FUERZA SOCIAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
FUERZA NACIONAL,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
PARTIDO POLITICO ADELANTE,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
FRENTE POPULAR AGRICOLA FIA DEL PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/07/2012
CONCERTACION DESCENTRALISTA,CANCELADO,ALIANZA ELECTORAL,NACIONAL,,02/08/2006
MOVIMIENTO INDEPENDIENTE PROYECTO JOVEN,CANCELADO,ORGANIZACIÓN LOCAL (PROVINCIAL),ANCASH - YUNGAY,,02/09/2015
FONAVISTAS DEL PERU,CANCELADO,PARTIDO POLÍTICO,NACIONAL,,02/11/2011
BLOQUE POPULAR JUNIN,CANCELADO,MOVIMIENTO REGIONAL,JUNÍN,,03/05/2011
MOVIMIENTO REGIONAL TUMBES UNIDO,INSCRITO,MOVIMIENTO REGIONAL,TUMBES,,03/05/2024
PROGRESEMOS,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,03/07/2024
NUEVO PERU POR EL BUEN VIVIR,INSCRITO,PARTIDO POLÍTICO,NACIONAL,,03/07/2024
MOVIMIENTO POLITICO REGIONAL CAJAMARCA RENACE,INSCRITO,MOVIMIENTO REGIONAL,CAJAMARCA,,03/09/2024
FRENTE NACIONAL DE TRABAJADORES Y CAMPESINOS,CANCELADO,MOVIMIENTO REGIONAL,PUNO,,04/04/2011
MOVIMIENTO LISTA DE INTEGRACION PARA EL DESARROLLO REGIONAL,CANCELADO,MOVIMIENTO REGIONAL,MOQUEGUA,,04/04/2011
MOVIMIENTO REGIONAL FORTALEZA PERU,INSCRITO,MOVIMIENTO REGIONAL,LA LIBERTAD,,04/06/2018
MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA,INSCRITO,MOVIMIENTO REGIONAL,TACNA,,04/07/2014
