Nombre_candidato,Nombre_partido,Cargo,nombre_archivo_imagen
PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACION - AN,PRESIDENTE DE LA REPÚBLICA,AHORA NACION -_PRES_PABLO ALFONSO LOPEZ CHAU NAVA.png
LUIS ALBERTO VILLANUEVA CARBAJAL,AHORA NACION - AN,PRIMER VICEPRESIDENTE DE LA REPÚBLICA,AHORA NACION -_1VP_LUIS ALBERTO VILLANUEVA CARBAJAL.png
RUTH ZENAIDA BUENDIA MESTOQUIARI,AHORA NACION - AN,SEGUNDO VICEPRESIDENTE DE LA REPÚBLICA,AHORA NACION -_2VP_RUTH ZENAIDA BUENDIA MESTOQUIARI.png
RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,PRESIDENTE DE LA REPÚBLICA,ALIANZA ELECTOR_PRES_RONALD DARWIN ATENCIO SOTOMAYOR.png
ELENA CARMEN RIVERA HUAMAN,ALIANZA ELECTORAL VENCEREMOS,PRIMER VICEPRESIDENTE DE LA REPÚBLICA,ALIANZA ELECTOR_1VP_ELENA CARMEN RIVERA HUAMAN.png
ALBERTO EUGENIO QUINTANILLA CHACON,ALIANZA ELECTORAL VENCEREMOS,SEGUNDO VICEPRESIDENTE DE LA REPÚBLICA,ALIANZA ELECTOR_2VP_ALBERTO EUGENIO QUINTANILLA CHACON.png
CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,PRESIDENTE DE LA REPÚBLICA,ALIANZA PARA EL_PRES_CESAR ACUÑA PERALTA.png
JESSICA MILAGROS TUMI RIVAS,ALIANZA PARA EL PROGRESO,PRIMER VICEPRESIDENTE DE LA REPÚBLICA,ALIANZA PARA EL_1VP_JESSICA MILAGROS TUMI RIVAS.png
ALEJANDRO SOTO REYES,ALIANZA PARA EL PROGRESO,SEGUNDO VICEPRESIDENTE DE LA REPÚBLICA,ALIANZA PARA EL_2VP_ALEJANDRO SOTO REYES.png
JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PRESIDENTE DE LA REPÚBLICA,AVANZA PAIS - P_PRES_JOSE DANIEL WILLIAMS ZAPATA.png
FERNAN ROMANO ALTUVE-FEBRES LORES,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PRIMER VICEPRESIDENTE DE LA REPÚBLICA,AVANZA PAIS - P_1VP_FERNAN ROMANO ALTUVE-FEBRES LORES.png
ADRIANA JOSEFINA TUDELA GUTIERREZ,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,SEGUNDO VICEPRESIDENTE DE LA REPÚBLICA,AVANZA PAIS - P_2VP_ADRIANA JOSEFINA TUDELA GUTIERREZ.png
