candidato,nombre_partido,distrito_electoral,cargo,nombre_archivo_imagen
ANIBAL SEGUNDO VILLALOBOS OCHOA,AHORA NACION - AN,AMAZONAS,DIPUTADO,AHORA NACION -_AMAZONAS_ANIBAL SEGUNDO VILLA.png
NELLY ÑONTOL GONZALES,AHORA NACION - AN,AMAZONAS,DIPUTADO,AHORA NACION -_AMAZONAS_NELLY ÑONTOL GONZALE.png
GEINER CANTA ALVIS,AHORA NACION - AN,AMAZONAS,DIPUTADO,AHORA NACION -_AMAZONAS_GEINER CANTA ALVIS.png
ZENOBIA CRUZ DELGADO,AHORA NACION - AN,AMAZONAS,DIPUTADO,AHORA NACION -_AMAZONAS_ZENOBIA CRUZ DELGADO.png
JOSE MIGUEL MARCELO SALAZAR,AHORA NACION - AN,ANCASH,DIPUTADO,AHORA NACION -_ANCASH_JOSE MIGUEL MARCELO.png
YANIRA PAMELA TORO FIGUEROA,AHORA NACION - AN,ANCASH,DIPUTADO,AHORA NACION -_ANCASH_YANIRA PAMELA TORO F.png
GODOFREDO GEOVANI REGALADO MAGUIÑA,AHORA NACION - AN,ANCASH,DIPUTADO,AHORA NACION -_ANCASH_GODOFREDO GEOVANI RE.png
EVANGELINA MILAGROS VIGO SALAZAR,AHORA NACION - AN,ANCASH,DIPUTADO,AHORA NACION -_ANCASH_EVANGELINA MILAGROS.png
ANTONIO ASUNCION PAJUELO LOPEZ,AHORA NACION - AN,ANCASH,DIPUTADO,AHORA NACION -_ANCASH_ANTONIO ASUNCION PAJ.png
EDYY MARLENI LAURENTE BARRERA,AHORA NACION - AN,ANCASH,DIPUTADO,AHORA NACION -_ANCASH_EDYY MARLENI LAURENT.png
EDITH YOVANNA DURAND TICONA,AHORA NACION - AN,APURIMAC,DIPUTADO,AHORA NACION -_APURIMAC_EDITH YOVANNA DURAND.png
KEVIN VÍCTOR ROMÁN SÁNCHEZ,AHORA NACION - AN,APURIMAC,DIPUTADO,AHORA NACION -_APURIMAC_KEVIN VÍCTOR ROMÁN S.png
AYLIN HUILLCA ORCCOTOMA,AHORA NACION - AN,APURIMAC,DIPUTADO,AHORA NACION -_APURIMAC_AYLIN HUILLCA ORCCOT.png
ANGEL DAMASO CASTILLO CCACHA,AHORA NACION - AN,APURIMAC,DIPUTADO,AHORA NACION -_APURIMAC_ANGEL DAMASO CASTILL.png
MARLENY BIBIANA ARMINTA VALENCIA,AHORA NACION - AN,AREQUIPA,DIPUTADO,AHORA NACION -_AREQUIPA_MARLENY BIBIANA ARMI.png
REMIL EMILIO PAREDES ANGULO,AHORA NACION - AN,AREQUIPA,DIPUTADO,AHORA NACION -_AREQUIPA_REMIL EMILIO PAREDES.png
SHEYLA MARIA VILCA NEIRA,AHORA NACION - AN,AREQUIPA,DIPUTADO,AHORA NACION -_AREQUIPA_SHEYLA MARIA VILCA N.png
FLAVIO PASCUAL CALCINA QUISPE,AHORA NACION - AN,AREQUIPA,DIPUTADO,AHORA NACION -_AREQUIPA_FLAVIO PASCUAL CALCI.png
YSABEL REYNA CASTRO AVENDAÑO DE TINTAYA,AHORA NACION - AN,AREQUIPA,DIPUTADO,AHORA NACION -_AREQUIPA_YSABEL REYNA CASTRO.png
CIRILO METADIO SUPO QUICO,AHORA NACION - AN,AREQUIPA,DIPUTADO,AHORA NACION -_AREQUIPA_CIRILO METADIO SUPO.png
FRESHMAN BUITRON MARTINEZ,AHORA NACION - AN,AYACUCHO,DIPUTADO,AHORA NACION -_AYACUCHO_FRESHMAN BUITRON MAR.png
SARY MEDINA GALINDO,AHORA NACION - AN,AYACUCHO,DIPUTADO,AHORA NACION -_AYACUCHO_SARY MEDINA GALINDO.png
CARLOS ALBERTO RUA CARBAJAL,AHORA NACION - AN,AYACUCHO,DIPUTADO,AHORA NACION -_AYACUCHO_CARLOS ALBERTO RUA C.png
BEATRIZ LILIANA AGUILAR CERVANTES,AHORA NACION - AN,AYACUCHO,DIPUTADO,AHORA NACION -_AYACUCHO_BEATRIZ LILIANA AGUI.png
IVAN ALEJANDRO LEON CASTRO,AHORA NACION - AN,CAJAMARCA,DIPUTADO,AHORA NACION -_CAJAMARCA_IVAN ALEJANDRO LEON.png
SILVIA JUDITH ALDANA PAREDES,AHORA NACION - AN,CAJAMARCA,DIPUTADO,AHORA NACION -_CAJAMARCA_SILVIA JUDITH ALDANA.png
ROSBER IRIGOÍN OBLITAS,AHORA NACION - AN,CAJAMARCA,DIPUTADO,AHORA NACION -_CAJAMARCA_ROSBER IRIGOÍN OBLIT.png
JULEISY JHAMIRA PEREZ HERRERA,AHORA NACION - AN,CAJAMARCA,DIPUTADO,AHORA NACION -_CAJAMARCA_JULEISY JHAMIRA PERE.png
HERIC FRANKLIN ESTELA BERNAL,AHORA NACION - AN,CAJAMARCA,DIPUTADO,AHORA NACION -_CAJAMARCA_HERIC FRANKLIN ESTEL.png
GANI LUCY VASQUEZ HUAMAN,AHORA NACION - AN,CAJAMARCA,DIPUTADO,AHORA NACION -_CAJAMARCA_GANI LUCY VASQUEZ HU.png
LUZ AURORA FLORES TOLEDO,AHORA NACION - AN,CALLAO,DIPUTADO,AHORA NACION -_CALLAO_LUZ AURORA FLORES TO.png
JUAN GUILLERMO MANCCO PEREZ,AHORA NACION - AN,CALLAO,DIPUTADO,AHORA NACION -_CALLAO_JUAN GUILLERMO MANCC.png
NATALY YASMYN VEGA TAFUR,AHORA NACION - AN,CALLAO,DIPUTADO,AHORA NACION -_CALLAO_NATALY YASMYN VEGA T.png
JHONY DAVID IDROGO BEJARANO,AHORA NACION - AN,CALLAO,DIPUTADO,AHORA NACION -_CALLAO_JHONY DAVID IDROGO B.png
