candidato,nombre_partido,tipo_senador,distrito_electoral,nombre_archivo_imagen
PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_PABLO ALFONSO LOPEZ.png
CARMEN PATRICIA CORREA ARANGOITIA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_CARMEN PATRICIA CORR.png
LUIS ALBERTO VILLANUEVA CARBAJAL,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_LUIS ALBERTO VILLANU.png
MIRTHA ESTHER VASQUEZ CHUQUILIN,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_MIRTHA ESTHER VASQUE.png
JAIME RICARDO DELGADO ZEGARRA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_JAIME RICARDO DELGAD.png
JUDITH ESPERANZA CABELLOS LUYO,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_JUDITH ESPERANZA CAB.png
RUTH LUQUE IBARRA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_RUTH LUQUE IBARRA.png
GARDENIA RUTH JIMENEZ VILLAVICENCIO,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_GARDENIA RUTH JIMENE.png
FORTUNATO ALVA DAVILA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_FORTUNATO ALVA DAVIL.png
CLAIRE MARINELLA PINEDO OCHOA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_CLAIRE MARINELLA PIN.png
TITO ROBERTO VILCHEZ VILCHEZ,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_TITO ROBERTO VILCHEZ.png
GRACIELA ALVARADO AVALOS,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_GRACIELA ALVARADO AV.png
JAVIER CORRALES VALENCIA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_JAVIER CORRALES VALE.png
VILMA OLGA JAMANCA MENACHO,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_VILMA OLGA JAMANCA M.png
DAVID RUBEN MAYTA SALLUCA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_DAVID RUBEN MAYTA SA.png
MARIA ISABEL MENDOZA SILVA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_MARIA ISABEL MENDOZA.png
ROGER ALEJANDRO RUMRRILL GARCIA,AHORA NACION - AN,DISTRITO ÚNICO,NACIONAL,AHORA NACION -_SEN_UNI_ROGER ALEJANDRO RUMR.png
